task_id,A,B,C
GT01_SINGLE,1.0,1.0,1.0
GT02_FIN_GOAL,1.0,1.0,1.0
GT03_PROC_GOAL,0.0,0.0,1.0
GT04_TECH_GOAL,0.0,1.0,1.0
GT05_BUS_GOAL,1.0,1.0,1.0
GT06_HR_GOAL,1.0,1.0,1.0
GT07_CROSS_CUSTOM_TECH_SUPPLIER,0.0,0.0,0.0
GT08_CROSS_TECH_DELIVERY_PAYMENT,0.0,0.0,0.0
GT09_CROSS_BUS_SERVICE_PAYMENT,0.0,0.0,0.0
GT10_CROSS_ONBOARDING_EQUIPMENT,0.0,0.0,0.0
GT11_CROSS_RECRUIT_BUDGET_OFFER,1.0,0.0,0.0
GT12_CROSS_BUSINESS_TO_PO,0.0,0.0,0.0
GT13_CROSS_INTERNAL_DEV_STAFF_DATA,1.0,1.0,1.0
GT14_CROSS_PAYMENT_PERFORMANCE,1.0,1.0,1.0
GT15_CROSS_SUPPLIER_CONTRACT_PO,0.0,1.0,1.0
GT16_SPECIAL_SUPPLIER_FAIL,0.0,0.0,0.0
GT17_SPECIAL_INVALID_INVOICE,1.0,0.0,0.0
GT18_SPECIAL_BUILD_OR_BUY,0.0,0.0,0.0
GT19_NO_TOOL_CLEAR,1.0,1.0,1.0
GT20_NO_TOOL_FINANCE,1.0,1.0,1.0
GT21_NO_TOOL_PROC,1.0,1.0,1.0
