configuration,run_id,task_id,primary_failure,secondary_failures,aliases_used,model_reason,source_file
A,1,GT03_PROC_GOAL,WRONG_ROUTE_CHOICE,"[""UNEXPECTED_ROUTE_CHOICE""]",[],采购需求与预算已确认但尚无候选供应商，因此依次进行供应商搜索、资质准入、RFQ生成、报价比较、综合评分和最终选商；按任务范围止于供应商选择，不进入谈判、合同或采购订单环节。,SkillNet_Gold_Tasks_V4/predictions/A/run_01/GT03_PROC_GOAL.json
A,1,GT04_TECH_GOAL,WRONG_ROUTE_CHOICE,"[""UNEXPECTED_ROUTE_CHOICE""]",[],技术需求已整理完成，因此从可行性评估开始，随后确认可实施的技术规格，形成详细方案设计并拆解为可进入开发的任务；本次不调用开发实施 Skill。,SkillNet_Gold_Tasks_V4/predictions/A/run_01/GT04_TECH_GOAL.json
A,1,GT07_CROSS_CUSTOM_TECH_SUPPLIER,WRONG_ROUTE_CHOICE,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""UNEXPECTED_ROUTE_CHOICE"", ""UNNECESSARY_SKILL""]",[],从现有客户线索开始确认客户需求并评估商机，再形成技术需求、完成可行性评估和采购技术规格确认；随后将外部设备需求转为采购需求并核查预算，依次完成供应商搜索、准入、询价、比价、评分和选择。流程止于供应商选择，不包含客户合同、供应合同或采购订单。,SkillNet_Gold_Tasks_V4/predictions/A/run_01/GT07_CROSS_CUSTOM_TECH_SUPPLIER.json
A,1,GT08_CROSS_TECH_DELIVERY_PAYMENT,WRONG_FINAL_STATUS,"[""EXTRA_BLOCKER"", ""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MISSING_DEPARTMENT"", ""WRONG_ROUTE_CHOICE"", ""UNEXPECTED_ROUTE_CHOICE""]",[],采购订单已生成且供应商报告到货，应先完成交付跟踪并取得技术部门参与的到货验收证据，再核验发票、办理付款审批，并在取得实际付款释放或结算证据后入账；当前缺少交付验收，因此后续付款与入账被阻塞。,SkillNet_Gold_Tasks_V4/predictions/A/run_01/GT08_CROSS_TECH_DELIVERY_PAYMENT.json
A,1,GT09_CROSS_BUS_SERVICE_PAYMENT,WRONG_ROUTE_CHOICE,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MISSING_DEPARTMENT"", ""UNEXPECTED_ROUTE_CHOICE""]",[],外部咨询服务需先按业务验收路线核对合同标准并取得正式验收证据，再核验供应商发票、形成付款审批与放款控制，最后依据已授权的付款证据完成入账准备。,SkillNet_Gold_Tasks_V4/predictions/A/run_01/GT09_CROSS_BUS_SERVICE_PAYMENT.json
A,1,GT10_CROSS_ONBOARDING_EQUIPMENT,WRONG_ROUTE_CHOICE,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MISSING_DEPARTMENT""]",[],采购订单已生成，因此先跟踪设备交付并完成到货验收；随后办理新员工入职、设备与访问准备，最后将员工信息归档至员工数据库。,SkillNet_Gold_Tasks_V4/predictions/A/run_01/GT10_CROSS_ONBOARDING_EQUIPMENT.json
A,1,GT12_CROSS_BUSINESS_TO_PO,WRONG_ROUTE_CHOICE,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""UNEXPECTED_ROUTE_CHOICE""]",[],客户线索已建档，因此从需求确认和商机评估开始；商机可行后走外部采购路径，依次形成采购需求、核查预算、寻源及准入供应商、询价比较与评分选定供应商，再完成谈判、供应合同和采购订单。,SkillNet_Gold_Tasks_V4/predictions/A/run_01/GT12_CROSS_BUSINESS_TO_PO.json
A,1,GT15_CROSS_SUPPLIER_CONTRACT_PO,WRONG_ROUTE_CHOICE,"[""UNEXPECTED_ROUTE_CHOICE""]",[],预算和供应商选择均已完成，因此先进行供应商商务条款谈判，再基于选商结果形成并履行审批、签署准备的采购合同流程，最后在合同获批并有执行证据后生成采购订单；本任务不包含交付跟踪。,SkillNet_Gold_Tasks_V4/predictions/A/run_01/GT15_CROSS_SUPPLIER_CONTRACT_PO.json
A,1,GT16_SPECIAL_SUPPLIER_FAIL,WRONG_BLOCK_REASON,"[""EXTRA_BLOCKER"", ""FORBIDDEN_SKILL_VIOLATION"", ""CONFLICT_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""WRONG_ROUTE_CHOICE"", ""UNEXPECTED_ROUTE_CHOICE"", ""CONTINUE_AFTER_BLOCK"", ""UNNECESSARY_SKILL""]",[],供应商未通过强制资质检查且没有获批例外；即使只有一家候选，选商环节也必须停止，因此不能确定该供应商或进入合同生成。,SkillNet_Gold_Tasks_V4/predictions/A/run_01/GT16_SPECIAL_SUPPLIER_FAIL.json
A,1,GT17_SPECIAL_INVALID_INVOICE,REPEATED_COMPLETED_SKILL,"[""UNNECESSARY_SKILL""]",[],交付验收虽已通过，但发票无效或与合同、订单不匹配，发票核验关口必须阻止付款交接；在供应商提交合规且匹配的新发票并经授权复核前，不进入付款审批。,SkillNet_Gold_Tasks_V4/predictions/A/run_01/GT17_SPECIAL_INVALID_INVOICE.json
A,1,GT18_SPECIAL_BUILD_OR_BUY,WRONG_ROUTE_CHOICE,"[""REPEATED_COMPLETED_SKILL"", ""UNEXPECTED_ROUTE_CHOICE"", ""UNNECESSARY_SKILL""]",[],已明确选择内部开发，因此仅规划技术路线：将已识别需求正式化，依次完成可行性评估、规格确认、方案设计、任务拆解、开发实施和技术测试验收；排除全部外部采购 Skills。,SkillNet_Gold_Tasks_V4/predictions/A/run_01/GT18_SPECIAL_BUILD_OR_BUY.json
