configuration,run_id,task_id,primary_failure,secondary_failures,aliases_used,model_reason,source_file
B,run_02_PATCHED_NONFORMAL,GT07_CROSS_CUSTOM_TECH_SUPPLIER,WRONG_FINAL_STATUS,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""UNNECESSARY_SKILL""]",[],仅有客户线索，须先完成客户需求沟通；需求未确认使后续技术定向、预算核查及供应商选商链路暂时阻塞，且路线明确排除客户合同、供应合同和采购订单。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/B/size_46/run_02_PATCHED_NONFORMAL/predictions/GT07_CROSS_CUSTOM_TECH_SUPPLIER.json
B,run_02_PATCHED_NONFORMAL,GT08_CROSS_TECH_DELIVERY_PAYMENT,WRONG_FINAL_STATUS,"[""WRONG_ROUTE_CHOICE""]",[],订单交付虽已跟踪且发票已提交，但技术验收尚未完成；应先完成技术与采购交付验收，再核验发票、办理付款审批并入账。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/B/size_46/run_02_PATCHED_NONFORMAL/predictions/GT08_CROSS_TECH_DELIVERY_PAYMENT.json
B,run_02_PATCHED_NONFORMAL,GT09_CROSS_BUS_SERVICE_PAYMENT,WRONG_FINAL_STATUS,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MUTEX_VIOLATION"", ""MISSING_DEPARTMENT"", ""WRONG_ROUTE_CHOICE""]",[],任务明确采用业务验收路线；需先由业务团队按约定确认服务成果，再进行发票核验、付款审批和账务处理。当前尚未正式验收，因此阻塞在业务验收。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/B/size_46/run_02_PATCHED_NONFORMAL/predictions/GT09_CROSS_BUS_SERVICE_PAYMENT.json
B,run_02_PATCHED_NONFORMAL,GT10_CROSS_ONBOARDING_EQUIPMENT,WRONG_FINAL_STATUS,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MISSING_DEPARTMENT"", ""WRONG_ROUTE_CHOICE""]",[],采购订单已生成，应先跟踪设备交付并完成验收，再完成入职准备和员工信息归档；当前设备尚未交付，验收环节受阻。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/B/size_46/run_02_PATCHED_NONFORMAL/predictions/GT10_CROSS_ONBOARDING_EQUIPMENT.json
B,run_02_PATCHED_NONFORMAL,GT11_CROSS_RECRUIT_BUDGET_OFFER,WRONG_FINAL_STATUS,[],[],岗位需求已审批且标准明确，无需重复发起岗位需求；招聘须先确认预算，当前预算未确认，因此由预算检查阻塞，预算可用后依次完成JD、发布、筛选、面试和Offer，暂不入职。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/B/size_46/run_02_PATCHED_NONFORMAL/predictions/GT11_CROSS_RECRUIT_BUDGET_OFFER.json
B,run_02_PATCHED_NONFORMAL,GT12_CROSS_BUSINESS_TO_PO,WRONG_FINAL_STATUS,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION""]",[],客户需求尚未确认，当前先阻塞于需求沟通；确认需求并通过商机评估后，再依次完成采购需求、预算检查、寻源选商、谈判、供应合同和采购订单。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/B/size_46/run_02_PATCHED_NONFORMAL/predictions/GT12_CROSS_BUSINESS_TO_PO.json
B,run_02_PATCHED_NONFORMAL,GT13_CROSS_INTERNAL_DEV_STAFF_DATA,WRONG_ROUTE_CHOICE,[],[],先查询现有员工技能与项目经验以支撑人员可行性判断，再完成规格确认和方案设计，最终结合员工能力拆解并分配可执行技术任务；按要求不进入开发实施。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/B/size_46/run_02_PATCHED_NONFORMAL/predictions/GT13_CROSS_INTERNAL_DEV_STAFF_DATA.json
B,run_02_PATCHED_NONFORMAL,GT14_CROSS_PAYMENT_PERFORMANCE,WRONG_FINAL_STATUS,[],[],需先核验发票，再形成付款审批材料并准备入账，同时开展供应商履约评价；目录仅支持付款审批而不执行付款，故阻塞于付款授权与执行环节。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/B/size_46/run_02_PATCHED_NONFORMAL/predictions/GT14_CROSS_PAYMENT_PERFORMANCE.json
B,run_02_PATCHED_NONFORMAL,GT16_SPECIAL_SUPPLIER_FAIL,CONFLICT_VIOLATION,"[""FORBIDDEN_SKILL_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""CONTINUE_AFTER_BLOCK"", ""UNNECESSARY_SKILL""]",[],唯一候选供应商资质不合格，不能进入正常选商或合同生成；业务负责人要求不能替代授权例外批准。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/B/size_46/run_02_PATCHED_NONFORMAL/predictions/GT16_SPECIAL_SUPPLIER_FAIL.json
B,run_02_PATCHED_NONFORMAL,GT17_SPECIAL_INVALID_INVOICE,CONFLICT_VIOLATION,"[""FORBIDDEN_SKILL_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""CONTINUE_AFTER_BLOCK"", ""UNNECESSARY_SKILL""]",[],发票无效或与合同、订单不匹配，未满足付款审批所需的已核验发票前提；即使交付已验收，也应阻止付款并要求更正发票及匹配差异。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/B/size_46/run_02_PATCHED_NONFORMAL/predictions/GT17_SPECIAL_INVALID_INVOICE.json
B,run_02_PATCHED_NONFORMAL,GT18_SPECIAL_BUILD_OR_BUY,WRONG_ROUTE_CHOICE,[],[],技术需求已识别且已确定内部开发，因此跳过需求识别和全部采购 Skills，依次完成可行性评估、规格确认、方案设计、任务拆解、开发实施和技术测试验收。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E0/B/size_46/run_02_PATCHED_NONFORMAL/predictions/GT18_SPECIAL_BUILD_OR_BUY.json
