configuration,run_id,task_id,primary_failure,secondary_failures,aliases_used,model_reason,source_file
B,1,GT03_PROC_GOAL,WRONG_ROUTE_CHOICE,"[""UNEXPECTED_ROUTE_CHOICE""]",[],采购需求和预算已确认且当前没有候选供应商，因此依次进行供应商搜索、资质准入、RFQ生成、报价比较、综合评分和最终选商；按任务范围不进入谈判、合同或采购订单环节。,SkillNet_Gold_Tasks_V4/predictions/B/run_01/GT03_PROC_GOAL.json
B,1,GT07_CROSS_CUSTOM_TECH_SUPPLIER,WRONG_ROUTE_CHOICE,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""UNEXPECTED_ROUTE_CHOICE"", ""UNNECESSARY_SKILL""]",[],先将客户线索转为已确认需求并评估商机，再完成技术需求、可行性和供应商中立的采购技术规格；随后核查预算，依次开展供应商搜索、准入、询价、报价比较、评分和选商。流程止于供应商选择，不进入客户合同、供应合同或采购订单阶段。,SkillNet_Gold_Tasks_V4/predictions/B/run_01/GT07_CROSS_CUSTOM_TECH_SUPPLIER.json
B,1,GT08_CROSS_TECH_DELIVERY_PAYMENT,WRONG_FINAL_STATUS,"[""EXTRA_BLOCKER"", ""WRONG_ROUTE_CHOICE"", ""UNEXPECTED_ROUTE_CHOICE""]",[],供应商报送到货不能替代验收；需先完成交付证据跟踪和技术验收，再形成采购交付验收证据，随后核验发票、履行付款审批，并在取得实际付款或结算证据后入账。当前因技术部门尚未验收而阻塞。,SkillNet_Gold_Tasks_V4/predictions/B/run_01/GT08_CROSS_TECH_DELIVERY_PAYMENT.json
B,1,GT09_CROSS_BUS_SERVICE_PAYMENT,WRONG_ROUTE_CHOICE,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MISSING_DEPARTMENT"", ""UNEXPECTED_ROUTE_CHOICE""]",[],外部咨询服务已交付但尚缺业务正式验收，因此先按合同标准完成业务验收，再核验供应商发票、形成付款审批材料，并在取得授权付款证据后准备入账。,SkillNet_Gold_Tasks_V4/predictions/B/run_01/GT09_CROSS_BUS_SERVICE_PAYMENT.json
B,1,GT10_CROSS_ONBOARDING_EQUIPMENT,WRONG_ROUTE_CHOICE,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MISSING_DEPARTMENT"", ""UNEXPECTED_ROUTE_CHOICE""]",[],采购订单已生成，因此从设备交付跟踪和到货验收开始；验收后完成员工入职、设备与访问准备，并将确认后的员工信息归档。,SkillNet_Gold_Tasks_V4/predictions/B/run_01/GT10_CROSS_ONBOARDING_EQUIPMENT.json
B,1,GT11_CROSS_RECRUIT_BUDGET_OFFER,WRONG_FINAL_STATUS,"[""EXTRA_BLOCKER""]",[],岗位需求已审批，无需重复执行岗位需求审批；应先核查招聘预算，预算确认可用后再依次生成JD、发布招聘、筛选简历、安排面试并为获批最终候选人生成Offer。当前因预算尚未确认而阻塞，且按要求不进入入职流程。,SkillNet_Gold_Tasks_V4/predictions/B/run_01/GT11_CROSS_RECRUIT_BUDGET_OFFER.json
B,1,GT12_CROSS_BUSINESS_TO_PO,WRONG_ROUTE_CHOICE,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""UNEXPECTED_ROUTE_CHOICE""]",[],线索已建档，因此从客户需求确认和商机评估开始；商机获准后，将外部服务转为采购需求并完成预算核查，再依次开展供应商寻源、准入、询价、比价、评分和选商，随后完成商业条款谈判、供应合同及采购订单。,SkillNet_Gold_Tasks_V4/predictions/B/run_01/GT12_CROSS_BUSINESS_TO_PO.json
B,1,GT16_SPECIAL_SUPPLIER_FAIL,CONFLICT_VIOLATION,"[""FORBIDDEN_SKILL_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""CONTINUE_AFTER_BLOCK"", ""UNNECESSARY_SKILL""]",[],唯一候选供应商未通过强制资质检查，且没有已批准的例外，因此必须停止选商；没有人工批准的选商结果，合同生成也不得启动。,SkillNet_Gold_Tasks_V4/predictions/B/run_01/GT16_SPECIAL_SUPPLIER_FAIL.json
B,1,GT17_SPECIAL_INVALID_INVOICE,CONFLICT_VIOLATION,"[""FORBIDDEN_SKILL_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""CONTINUE_AFTER_BLOCK"", ""UNNECESSARY_SKILL""]",[],发票无效或与合同、订单不匹配属于付款前置核验失败；即使采购交付已验收，也必须阻断付款审批及放款，要求供应商更正发票并经授权复核通过后再继续。,SkillNet_Gold_Tasks_V4/predictions/B/run_01/GT17_SPECIAL_INVALID_INVOICE.json
B,1,GT18_SPECIAL_BUILD_OR_BUY,WRONG_ROUTE_CHOICE,"[""REPEATED_COMPLETED_SKILL"", ""UNEXPECTED_ROUTE_CHOICE"", ""UNNECESSARY_SKILL""]",[],技术需求需先形成可追踪基线，再依次完成可行性评估、规格确认、方案设计、任务拆解、内部开发实施和技术测试验收；已明确禁止外部采购，因此不调用采购类 Skills。,SkillNet_Gold_Tasks_V4/predictions/B/run_01/GT18_SPECIAL_BUILD_OR_BUY.json
