configuration,run_id,task_id,primary_failure,secondary_failures,aliases_used,model_reason,source_file
A,run_02,GT07_CROSS_CUSTOM_TECH_SUPPLIER,REPEATED_COMPLETED_SKILL,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""UNNECESSARY_SKILL""]",[],任务需要业务、技术、财务与采购串联，将单条线索推进为明确的定制方案方向和合格供货来源，并按要求在签约与下单前停止。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/A/size_46/run_02/predictions/GT07_CROSS_CUSTOM_TECH_SUPPLIER.json
A,run_02,GT08_CROSS_TECH_DELIVERY_PAYMENT,WRONG_FINAL_STATUS,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MISSING_DEPARTMENT"", ""WRONG_ROUTE_CHOICE""]",[],设备尚未经技术人员确认，需先完成采购交付验收；验收通过后再核验发票、办理付款审批并入账。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/A/size_46/run_02/predictions/GT08_CROSS_TECH_DELIVERY_PAYMENT.json
A,run_02,GT09_CROSS_BUS_SERVICE_PAYMENT,WRONG_FINAL_STATUS,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MISSING_DEPARTMENT"", ""WRONG_ROUTE_CHOICE""]",[],外购咨询服务须先由授权业务负责人按合同完成验收；当前验收未确认，因此付款核验、审批及入账流程暂被阻塞。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/A/size_46/run_02/predictions/GT09_CROSS_BUS_SERVICE_PAYMENT.json
A,run_02,GT10_CROSS_ONBOARDING_EQUIPMENT,WRONG_FINAL_STATUS,"[""ORDER_VIOLATION"", ""WRONG_ROUTE_CHOICE""]",[],已满足入职管理前提，但电脑尚未到货，无法完成交付验收和技术可用性确认；待两项门禁通过后再完成入职准备与员工资料归档。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/A/size_46/run_02/predictions/GT10_CROSS_ONBOARDING_EQUIPMENT.json
A,run_02,GT11_CROSS_RECRUIT_BUDGET_OFFER,WRONG_FINAL_STATUS,[],[],招聘名额和岗位标准已具备，须先确认预算；当前预算未确认，因此招聘及Offer流程被预算检查阻塞，且按要求不进入入职管理。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/A/size_46/run_02/predictions/GT11_CROSS_RECRUIT_BUDGET_OFFER.json
A,run_02,GT12_CROSS_BUSINESS_TO_PO,REPEATED_COMPLETED_SKILL,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""UNNECESSARY_SKILL""]",[],先完成线索建档、需求确认和商机评估；确认值得推进后，将外部咨询服务转为采购需求，完成预算核查、寻源、准入、询比价、评分选商和合同准备，最终生成采购订单。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/A/size_46/run_02/predictions/GT12_CROSS_BUSINESS_TO_PO.json
A,run_02,GT13_CROSS_INTERNAL_DEV_STAFF_DATA,WRONG_ROUTE_CHOICE,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION""]",[],先评估内部开发可行性，再查询现有员工技能与项目经历，最后形成负责人、依赖和验收标准明确的任务分工；不进入开发实施。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/A/size_46/run_02/predictions/GT13_CROSS_INTERNAL_DEV_STAFF_DATA.json
A,run_02,GT15_CROSS_SUPPLIER_CONTRACT_PO,MISSING_REQUIRED_SKILL,"[""ORDER_VIOLATION"", ""MISSING_DEPARTMENT""]",[],预算和供应商已确定，应先完成采购合同生成与审批准备，再依据已批准合同生成并释放采购订单；交付环节不在本次范围。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/A/size_46/run_02/predictions/GT15_CROSS_SUPPLIER_CONTRACT_PO.json
A,run_02,GT16_SPECIAL_SUPPLIER_FAIL,CONFLICT_VIOLATION,"[""FORBIDDEN_SKILL_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""CONTINUE_AFTER_BLOCK"", ""UNNECESSARY_SKILL""]",[],唯一候选供应商资质不合格，不能形成合规选商结果；未经授权例外批准，不得定标或生成合同。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/A/size_46/run_02/predictions/GT16_SPECIAL_SUPPLIER_FAIL.json
A,run_02,GT17_SPECIAL_INVALID_INVOICE,WRONG_BLOCK_REASON,"[""FORBIDDEN_SKILL_VIOLATION"", ""CONFLICT_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""CONTINUE_AFTER_BLOCK"", ""UNNECESSARY_SKILL""]",[],货物虽已验收，但发票无效或与合同、订单不匹配，核验不通过，付款审批必须暂停，待供应商更正发票并重新核验。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/A/size_46/run_02/predictions/GT17_SPECIAL_INVALID_INVOICE.json
A,run_02,GT18_SPECIAL_BUILD_OR_BUY,WRONG_ROUTE_CHOICE,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MUTEX_VIOLATION""]",[],技术需求已识别且明确限定内部实施，因此跳过采购路线，推进方案设计、任务拆解、开发实施并完成技术测试验收把关。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/A/size_46/run_02/predictions/GT18_SPECIAL_BUILD_OR_BUY.json
