configuration,run_id,task_id,primary_failure,secondary_failures,aliases_used,model_reason,source_file
B,run_02,GT07_CROSS_CUSTOM_TECH_SUPPLIER,REPEATED_COMPLETED_SKILL,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""UNNECESSARY_SKILL""]",[],该任务需跨业务、技术、财务和采购推进；Catalogue 可覆盖从单条线索、需求与规格澄清、方案设计和预算确定到供应商搜索及资质确认的完整前置链路，并可在合同与订单之前停止。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT07_CROSS_CUSTOM_TECH_SUPPLIER.json
B,run_02,GT08_CROSS_TECH_DELIVERY_PAYMENT,WRONG_FINAL_STATUS,"[""WRONG_ROUTE_CHOICE""]",[],供应商送达声明不能替代技术及正式交付验收；当前缺少技术确认和验收证据，待两项完成后方可核票、付款审批并入账。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT08_CROSS_TECH_DELIVERY_PAYMENT.json
B,run_02,GT09_CROSS_BUS_SERVICE_PAYMENT,WRONG_FINAL_STATUS,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MISSING_DEPARTMENT"", ""WRONG_ROUTE_CHOICE""]",[],外购咨询服务须先由授权业务负责人按合同完成验收；当前成果尚未确认，因此后续发票核验、付款审批和入账被验收环节阻塞。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT09_CROSS_BUS_SERVICE_PAYMENT.json
B,run_02,GT10_CROSS_ONBOARDING_EQUIPMENT,WRONG_FINAL_STATUS,"[""ORDER_VIOLATION"", ""WRONG_ROUTE_CHOICE""]",[],录用已接受且电脑已下单，应进入入职、交付跟踪和资料归档流程；但电脑尚未到货，无法完成交付验收及后续技术可用性确认，因此当前受阻。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT10_CROSS_ONBOARDING_EQUIPMENT.json
B,run_02,GT11_CROSS_RECRUIT_BUDGET_OFFER,WRONG_FINAL_STATUS,[],[],招聘名额和岗位标准已具备，但预算尚未确认；须先完成预算检查，通过后依次生成JD、发布、筛选、面试并为获批最终人选生成Offer，且不进入入职流程。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT11_CROSS_RECRUIT_BUDGET_OFFER.json
B,run_02,GT12_CROSS_BUSINESS_TO_PO,WRONG_FINAL_STATUS,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""UNNECESSARY_SKILL""]",[],需先确认客户需求并完成人工商机判断，再明确预算、完成供应商寻源评选及合同审批后才能生成并释放正式采购订单；当前价值判断、预算和供应方均未定，故路由受阻。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT12_CROSS_BUSINESS_TO_PO.json
B,run_02,GT13_CROSS_INTERNAL_DEV_STAFF_DATA,WRONG_ROUTE_CHOICE,[],[],需求已识别且确定内部开发，应先查询员工技能与项目经历，再完成可行性、规格与方案确认，最终形成责任明确的可执行任务分工；不进入开发实施。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT13_CROSS_INTERNAL_DEV_STAFF_DATA.json
B,run_02,GT15_CROSS_SUPPLIER_CONTRACT_PO,MISSING_REQUIRED_SKILL,"[""ORDER_VIOLATION"", ""MISSING_DEPARTMENT""]",[],预算和供应商已确定，先生成并完成采购合同审批准备，再据已批准合同生成并释放采购订单；交付环节不在本次范围。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT15_CROSS_SUPPLIER_CONTRACT_PO.json
B,run_02,GT16_SPECIAL_SUPPLIER_FAIL,CONFLICT_VIOLATION,"[""FORBIDDEN_SKILL_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""CONTINUE_AFTER_BLOCK"", ""UNNECESSARY_SKILL""]",[],唯一候选供应商资质不合格，无法形成合规选商结果，合同生成缺少已批准的供应商选择，因此应阻断并不得因催办而例外出合同。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT16_SPECIAL_SUPPLIER_FAIL.json
B,run_02,GT17_SPECIAL_INVALID_INVOICE,CONFLICT_VIOLATION,"[""FORBIDDEN_SKILL_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""CONTINUE_AFTER_BLOCK"", ""UNNECESSARY_SKILL""]",[],发票无效或无法匹配合同、订单，未通过发票核验，付款审批前置条件不成立；即使货物已验收且供应商催款，也必须暂停付款并补正发票或解决匹配差异。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT17_SPECIAL_INVALID_INVOICE.json
