configuration,run_id,task_id,primary_failure,secondary_failures,aliases_used,model_reason,source_file
C,run_02,GT07_CROSS_CUSTOM_TECH_SUPPLIER,REPEATED_COMPLETED_SKILL,"[""UNNECESSARY_SKILL""]",[],先澄清客户需求并完成商机与定制技术方案，再形成采购需求、核查预算并完成供应商发现、准入、询价、比较、评分和选择；在客户或供应商谈判签约及采购下单前停止。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/C/size_46/run_02/predictions/GT07_CROSS_CUSTOM_TECH_SUPPLIER.json
C,run_02,GT08_CROSS_TECH_DELIVERY_PAYMENT,WRONG_FINAL_STATUS,"[""MUTEX_VIOLATION"", ""WRONG_ROUTE_CHOICE""]",[],技术设备尚未经技术人员测试验收，须先完成技术验收和采购交付验收，再核验发票、办理付款审批并入账。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/C/size_46/run_02/predictions/GT08_CROSS_TECH_DELIVERY_PAYMENT.json
C,run_02,GT09_CROSS_BUS_SERVICE_PAYMENT,WRONG_FINAL_STATUS,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""WRONG_ROUTE_CHOICE""]",[],外购咨询服务应走业务验收路线；业务负责人尚未按约确认成果，需先完成人工验收，之后方可采购验收、核票、付款审批并入账。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/C/size_46/run_02/predictions/GT09_CROSS_BUS_SERVICE_PAYMENT.json
C,run_02,GT10_CROSS_ONBOARDING_EQUIPMENT,WRONG_FINAL_STATUS,"[""MUTEX_VIOLATION"", ""WRONG_ROUTE_CHOICE""]",[],电脑尚未送达且未完成技术确认，必须先跟踪交付、完成技术测试和采购验收，之后才能完成入职准备及员工资料归档。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/C/size_46/run_02/predictions/GT10_CROSS_ONBOARDING_EQUIPMENT.json
C,run_02,GT11_CROSS_RECRUIT_BUDGET_OFFER,WRONG_FINAL_STATUS,[],[],招聘名额和岗位标准已具备，但预算尚未确认；须先通过预算检查，之后才能发布招聘、筛选面试并向获批人选生成Offer，且按要求不进入入职流程。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/C/size_46/run_02/predictions/GT11_CROSS_RECRUIT_BUDGET_OFFER.json
C,run_02,GT12_CROSS_BUSINESS_TO_PO,REPEATED_COMPLETED_SKILL,"[""UNNECESSARY_SKILL""]",[],先确认客户需求并评估商机价值，再形成方案与采购需求，完成预算核查、寻源询价、选商谈判和采购合同，最终生成正式采购订单。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/C/size_46/run_02/predictions/GT12_CROSS_BUSINESS_TO_PO.json
C,run_02,GT13_CROSS_INTERNAL_DEV_STAFF_DATA,WRONG_ROUTE_CHOICE,[],[],先查询现有员工技能与项目经历，再完成可行性、规格、方案及人员任务拆解；按要求止于可执行分工，不进入开发实施。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/C/size_46/run_02/predictions/GT13_CROSS_INTERNAL_DEV_STAFF_DATA.json
C,run_02,GT16_SPECIAL_SUPPLIER_FAIL,REPEATED_COMPLETED_SKILL,"[""UNNECESSARY_SKILL""]",[],唯一候选供应商资质不合格，按冲突规则必须停止选商及合同生成，不得因业务催促绕过准入门禁。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/C/size_46/run_02/predictions/GT16_SPECIAL_SUPPLIER_FAIL.json
C,run_02,GT17_SPECIAL_INVALID_INVOICE,WRONG_BLOCK_REASON,"[""FORBIDDEN_SKILL_VIOLATION"", ""CONFLICT_VIOLATION"", ""REPEATED_COMPLETED_SKILL"", ""CONTINUE_AFTER_BLOCK"", ""UNNECESSARY_SKILL""]",[],货物虽已验收，但发票无效或与合同、订单不匹配，核验失败后必须阻止付款审批，不得因供应商催款而放行。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/C/size_46/run_02/predictions/GT17_SPECIAL_INVALID_INVOICE.json
C,run_02,GT18_SPECIAL_BUILD_OR_BUY,WRONG_ROUTE_CHOICE,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MUTEX_VIOLATION""]",[],技术需求已确定由内部团队建设，因此排除采购路线，按规格确认、方案设计、任务拆解、开发实施和技术测试验收推进。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/C/size_46/run_02/predictions/GT18_SPECIAL_BUILD_OR_BUY.json
