configuration,run_id,task_id,category,difficulty,format_valid,functional_success,clean_success,use_skills_correct,final_status_correct,no_tool_correct,blocked_flow_correct,skill_precision,skill_recall,skill_f1,department_precision,department_recall,department_f1,required_order_accuracy,gold_constraint_violated,blocked_reason_f1,route_choice_correct,predicted_skill_count,required_skill_count,unnecessary_skill_count,unknown_skills,unknown_departments,unknown_blockers,extra_blockers,unexpected_route_choices,missing_required_skills,extra_skills,hard_order_results,unsatisfied_order_pairs,forbidden_hits,conflict_violations,mutex_violations,missing_departments,extra_departments,duplicate_skills,repeated_initial_skills,aliases_used,primary_failure,secondary_failures,model_reason,source_file,source_line
C,1,GT01_SINGLE,single_skill,easy,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,1,1,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],候选供应商名单已整理完成，当前仅需核验基本资质、合规性、风险与准入条件；不涉及供应商搜索、询价、评分或选择。,SkillNet_Gold_Tasks_V4/predictions/C/run_01/GT01_SINGLE.json,
C,1,GT02_FIN_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,2,2,0,[],[],[],[],[],[],[],"[{""before"": ""finance-accounting"", ""after"": ""finance-reporting"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],已批准款项均已支付，无需重复预算、费用、发票或付款审批；应先通过 finance-accounting 根据付款凭证完成记账准备并由授权人员过账，再由 finance-reporting 基于已过账数据完成月末对账和管理报表草案。,SkillNet_Gold_Tasks_V4/predictions/C/run_01/GT02_FIN_GOAL.json,
C,1,GT03_PROC_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,6,6,0,[],[],[],[],[],[],[],"[{""before"": ""procurement-supplier-search"", ""after"": ""procurement-supplier-qualification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-qualification"", ""after"": ""procurement-rfq-generation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-rfq-generation"", ""after"": ""procurement-quote-comparison"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-quote-comparison"", ""after"": ""procurement-supplier-scoring"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-scoring"", ""after"": ""procurement-supplier-selection"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],采购需求和预算已确认，但尚无候选供应商，因此从供应商搜索开始，依次完成资质准入、RFQ生成、报价比较、综合评分和供应商选择；按任务范围止于选商，不进入谈判、合同或采购订单环节。,SkillNet_Gold_Tasks_V4/predictions/C/run_01/GT03_PROC_GOAL.json,
C,1,GT04_TECH_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,4,4,0,[],[],[],[],[],[],[],"[{""before"": ""technology-feasibility-assessment"", ""after"": ""technology-specification-confirmation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-specification-confirmation"", ""after"": ""technology-solution-design"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-solution-design"", ""after"": ""technology-task-breakdown"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],技术需求已整理完成，因此从可行性评估开始，依次确认可度量技术规格、形成详细技术方案并拆解为可执行开发任务；止于开发实施之前。,SkillNet_Gold_Tasks_V4/predictions/C/run_01/GT04_TECH_GOAL.json,
C,1,GT05_BUS_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,3,3,0,[],[],[],[],[],[],[],"[{""before"": ""business-requirement-communication"", ""after"": ""business-opportunity-assessment"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""business-opportunity-assessment"", ""after"": ""business-solution-quotation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],潜在客户已进入跟进名单，无需重复创建线索；应先澄清需求、预算和交付预期，再评估商机是否值得推进，仅对经确认值得推进的商机形成初步方案和报价。按要求不进入正式谈判或合同签署。,SkillNet_Gold_Tasks_V4/predictions/C/run_01/GT05_BUS_GOAL.json,
C,1,GT06_HR_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,3,3,0,[],[],[],[],[],[],[],"[{""before"": ""hr-jd-generator"", ""after"": ""hr-recruitment-publish"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""hr-recruitment-publish"", ""after"": ""hr-resume-screening"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],岗位需求和招聘预算已获批准；先生成获批JD，再发布职位并收集申请，最后按岗位标准筛选形成面试候选人名单。任务范围不包括面试安排或Offer生成。,SkillNet_Gold_Tasks_V4/predictions/C/run_01/GT06_HR_GOAL.json,
C,1,GT07_CROSS_CUSTOM_TECH_SUPPLIER,cross_department_goal,hard,True,False,False,True,True,,,0.875,1.0,0.933333,1.0,1.0,1.0,1.0,True,1.0,False,16,14,2,[],[],[],[],"[""build_or_buy""]",[],"[""business-customer-lead"", ""finance-budget-planning""]","[{""before"": ""business-requirement-communication"", ""after"": ""business-opportunity-assessment"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""business-opportunity-assessment"", ""after"": ""business-solution-quotation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-requirement"", ""after"": ""technology-feasibility-assessment"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-feasibility-assessment"", ""after"": ""technology-specification-confirmation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""business-solution-quotation"", ""after"": ""procurement-requirement"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-specification-confirmation"", ""after"": ""procurement-requirement"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-requirement"", ""after"": ""finance-budget-check"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-budget-check"", ""after"": ""procurement-supplier-search"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-search"", ""after"": ""procurement-supplier-qualification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-qualification"", ""after"": ""procurement-rfq-generation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-rfq-generation"", ""after"": ""procurement-quote-comparison"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-quote-comparison"", ""after"": ""procurement-supplier-scoring"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-scoring"", ""after"": ""procurement-supplier-selection"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],"[""business-customer-lead""]",[],WRONG_ROUTE_CHOICE,"[""REPEATED_COMPLETED_SKILL"", ""UNEXPECTED_ROUTE_CHOICE"", ""UNNECESSARY_SKILL""]",从现有客户线索依次确认客户需求、商机与技术方向，形成技术规格和方案报价；因明确需要外部设备采购，建立采购需求并完成预算规划与检查，再经供应商搜索、准入、询价、比价、评分和选商结束。范围止于供应商选择，不进入客户合同、供应合同或采购订单阶段。,SkillNet_Gold_Tasks_V4/predictions/C/run_01/GT07_CROSS_CUSTOM_TECH_SUPPLIER.json,
C,1,GT08_CROSS_TECH_DELIVERY_PAYMENT,cross_department_goal,hard,True,False,False,True,False,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,0.0,False,6,6,0,[],[],[],"[""technology-test-acceptance""]","[""build_or_buy""]",[],[],"[{""before"": ""procurement-delivery-tracking"", ""after"": ""technology-test-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-test-acceptance"", ""after"": ""procurement-delivery-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-delivery-acceptance"", ""after"": ""finance-invoice-verification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-invoice-verification"", ""after"": ""finance-payment-approval"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-payment-approval"", ""after"": ""finance-accounting"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],WRONG_FINAL_STATUS,"[""EXTRA_BLOCKER"", ""WRONG_ROUTE_CHOICE"", ""UNEXPECTED_ROUTE_CHOICE""]",采购订单已生成且设备已送达，应先完成交付跟踪并走技术验收路线；技术验收通过后才能形成采购交付验收证据，继而核验发票、审批付款，并在取得付款释放或结算证据后入账。当前技术部门尚未验收，因此后续流程被阻塞。,SkillNet_Gold_Tasks_V4/predictions/C/run_01/GT08_CROSS_TECH_DELIVERY_PAYMENT.json,
C,1,GT09_CROSS_BUS_SERVICE_PAYMENT,cross_department_goal,hard,True,False,False,True,False,,,1.0,0.833333,0.909091,1.0,1.0,1.0,0.8,True,0.0,False,5,6,0,[],[],[],"[""business-acceptance""]","[""build_or_buy""]","[""procurement-delivery-tracking""]",[],"[{""before"": ""procurement-delivery-tracking"", ""after"": ""business-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_before""}, {""before"": ""business-acceptance"", ""after"": ""procurement-delivery-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-delivery-acceptance"", ""after"": ""finance-invoice-verification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-invoice-verification"", ""after"": ""finance-payment-approval"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-payment-approval"", ""after"": ""finance-accounting"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]","[{""before"": ""procurement-delivery-tracking"", ""after"": ""business-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_before""}]",[],[],[],[],[],[],[],[],WRONG_FINAL_STATUS,"[""EXTRA_BLOCKER"", ""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""WRONG_ROUTE_CHOICE"", ""UNEXPECTED_ROUTE_CHOICE""]",外部咨询服务采用业务验收路线；须先取得业务团队的正式验收证据，再完成采购交付验收、发票核验、付款审批，并在取得付款释放或结算证据后入账。当前尚缺正式业务验收，因此后续付款与入账被阻塞。,SkillNet_Gold_Tasks_V4/predictions/C/run_01/GT09_CROSS_BUS_SERVICE_PAYMENT.json,
C,1,GT10_CROSS_ONBOARDING_EQUIPMENT,cross_department_goal,hard,True,False,False,True,False,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,0.0,False,5,5,0,[],[],[],"[""procurement-delivery-tracking""]","[""build_or_buy""]",[],[],"[{""before"": ""procurement-delivery-tracking"", ""after"": ""technology-test-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-test-acceptance"", ""after"": ""procurement-delivery-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-delivery-acceptance"", ""after"": ""hr-onboarding"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""hr-onboarding"", ""after"": ""hr-employee-database"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],WRONG_FINAL_STATUS,"[""EXTRA_BLOCKER"", ""WRONG_ROUTE_CHOICE"", ""UNEXPECTED_ROUTE_CHOICE""]",Offer 已接受且采购订单已生成，因此从设备交付跟踪开始；办公电脑属于外购技术设备，到货后需先完成技术测试验收，再完成采购交付验收，随后办理入职并归档员工信息。当前设备尚未交付，后续步骤暂时受阻。,SkillNet_Gold_Tasks_V4/predictions/C/run_01/GT10_CROSS_ONBOARDING_EQUIPMENT.json,
