configuration,run_id,task_id,category,difficulty,format_valid,functional_success,clean_success,use_skills_correct,final_status_correct,no_tool_correct,blocked_flow_correct,skill_precision,skill_recall,skill_f1,department_precision,department_recall,department_f1,required_order_accuracy,gold_constraint_violated,blocked_reason_f1,route_choice_correct,predicted_skill_count,required_skill_count,unnecessary_skill_count,unknown_skills,unknown_blockers,unknown_departments,missing_required_skills,extra_skills,hard_order_results,unsatisfied_order_pairs,forbidden_hits,conflict_violations,mutex_violations,missing_departments,extra_departments,duplicate_skills,repeated_initial_skills,aliases_used,primary_failure,secondary_failures,model_reason,source_file,source_line
B,run_02,GT01_SINGLE,single_skill,easy,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,1,1,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,[],候选名单已具备，任务仅判断采购准入，明确排除询价、评分和选商，因此只路由供应商资质检查。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT01_SINGLE.json,
B,run_02,GT02_FIN_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,2,2,0,[],[],[],[],[],"[{""before"": ""finance-accounting"", ""after"": ""finance-reporting"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],已付款但未入账，需先完成账务处理，再基于已入账数据生成本月财务报表。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT02_FIN_GOAL.json,
B,run_02,GT03_PROC_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,6,6,0,[],[],[],[],[],"[{""before"": ""procurement-supplier-search"", ""after"": ""procurement-supplier-qualification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-qualification"", ""after"": ""procurement-rfq-generation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-rfq-generation"", ""after"": ""procurement-quote-comparison"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-quote-comparison"", ""after"": ""procurement-supplier-scoring"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-scoring"", ""after"": ""procurement-supplier-selection"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],采购需求和预算已确定但尚无候选方，应依次搜索供应商、审查资质、询价比价、综合评分并形成选商建议；谈判、合同和下单不纳入本次路由。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT03_PROC_GOAL.json,
B,run_02,GT04_TECH_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,4,4,0,[],[],[],[],[],"[{""before"": ""technology-feasibility-assessment"", ""after"": ""technology-specification-confirmation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-specification-confirmation"", ""after"": ""technology-solution-design"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-solution-design"", ""after"": ""technology-task-breakdown"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],需求已整理，需依次完成可行性评估、规格确认、方案设计和任务拆解，使其具备开工条件，同时不进入实际开发。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT04_TECH_GOAL.json,
B,run_02,GT05_BUS_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,3,3,0,[],[],[],[],[],"[{""before"": ""business-requirement-communication"", ""after"": ""business-opportunity-assessment"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""business-opportunity-assessment"", ""after"": ""business-solution-quotation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],先澄清需求、预算和交付预期，再评估商机是否值得继续；仅在通过评估后形成供讨论的初步方案与报价，不进入谈判或签约。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT05_BUS_GOAL.json,
B,run_02,GT06_HR_GOAL,single_department_goal,medium,True,True,True,True,True,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,3,3,0,[],[],[],[],[],"[{""before"": ""hr-jd-generator"", ""after"": ""hr-recruitment-publish"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""hr-recruitment-publish"", ""after"": ""hr-resume-screening"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],,[],岗位需求与经费已批准，应先生成JD并发布招聘，再按岗位标准筛选申请形成面试候选名单；不包含面试安排或Offer生成。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT06_HR_GOAL.json,
B,run_02,GT07_CROSS_CUSTOM_TECH_SUPPLIER,cross_department_goal,hard,True,False,False,True,True,,,0.75,0.642857,0.692308,1.0,1.0,1.0,0.538462,True,1.0,True,12,14,3,[],[],[],"[""business-solution-quotation"", ""procurement-quote-comparison"", ""procurement-rfq-generation"", ""procurement-supplier-scoring"", ""procurement-supplier-selection""]","[""business-customer-lead"", ""finance-budget-planning"", ""technology-solution-design""]","[{""before"": ""business-requirement-communication"", ""after"": ""business-opportunity-assessment"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""business-opportunity-assessment"", ""after"": ""business-solution-quotation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}, {""before"": ""technology-requirement"", ""after"": ""technology-feasibility-assessment"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-feasibility-assessment"", ""after"": ""technology-specification-confirmation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""business-solution-quotation"", ""after"": ""procurement-requirement"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_before""}, {""before"": ""technology-specification-confirmation"", ""after"": ""procurement-requirement"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-requirement"", ""after"": ""finance-budget-check"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-budget-check"", ""after"": ""procurement-supplier-search"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-search"", ""after"": ""procurement-supplier-qualification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-supplier-qualification"", ""after"": ""procurement-rfq-generation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}, {""before"": ""procurement-rfq-generation"", ""after"": ""procurement-quote-comparison"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}, {""before"": ""procurement-quote-comparison"", ""after"": ""procurement-supplier-scoring"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}, {""before"": ""procurement-supplier-scoring"", ""after"": ""procurement-supplier-selection"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}]","[{""before"": ""business-opportunity-assessment"", ""after"": ""business-solution-quotation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}, {""before"": ""business-solution-quotation"", ""after"": ""procurement-requirement"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_before""}, {""before"": ""procurement-supplier-qualification"", ""after"": ""procurement-rfq-generation"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}, {""before"": ""procurement-rfq-generation"", ""after"": ""procurement-quote-comparison"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}, {""before"": ""procurement-quote-comparison"", ""after"": ""procurement-supplier-scoring"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}, {""before"": ""procurement-supplier-scoring"", ""after"": ""procurement-supplier-selection"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}]",[],[],[],[],[],[],"[""business-customer-lead""]",[],REPEATED_COMPLETED_SKILL,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""UNNECESSARY_SKILL""]",该任务需跨业务、技术、财务和采购推进；Catalogue 可覆盖从单条线索、需求与规格澄清、方案设计和预算确定到供应商搜索及资质确认的完整前置链路，并可在合同与订单之前停止。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT07_CROSS_CUSTOM_TECH_SUPPLIER.json,
B,run_02,GT08_CROSS_TECH_DELIVERY_PAYMENT,cross_department_goal,hard,True,False,False,True,False,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,0.0,False,6,6,0,[],[],[],[],[],"[{""before"": ""procurement-delivery-tracking"", ""after"": ""technology-test-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-test-acceptance"", ""after"": ""procurement-delivery-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""procurement-delivery-acceptance"", ""after"": ""finance-invoice-verification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-invoice-verification"", ""after"": ""finance-payment-approval"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-payment-approval"", ""after"": ""finance-accounting"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]",[],[],[],[],[],[],[],[],[],WRONG_FINAL_STATUS,"[""WRONG_ROUTE_CHOICE""]",供应商送达声明不能替代技术及正式交付验收；当前缺少技术确认和验收证据，待两项完成后方可核票、付款审批并入账。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT08_CROSS_TECH_DELIVERY_PAYMENT.json,
B,run_02,GT09_CROSS_BUS_SERVICE_PAYMENT,cross_department_goal,hard,True,False,False,True,False,,,1.0,0.666667,0.8,1.0,0.666667,0.8,0.6,True,0.0,False,4,6,0,[],[],[],"[""business-acceptance"", ""procurement-delivery-tracking""]",[],"[{""before"": ""procurement-delivery-tracking"", ""after"": ""business-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}, {""before"": ""business-acceptance"", ""after"": ""procurement-delivery-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_before""}, {""before"": ""procurement-delivery-acceptance"", ""after"": ""finance-invoice-verification"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-invoice-verification"", ""after"": ""finance-payment-approval"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""finance-payment-approval"", ""after"": ""finance-accounting"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]","[{""before"": ""procurement-delivery-tracking"", ""after"": ""business-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_after""}, {""before"": ""business-acceptance"", ""after"": ""procurement-delivery-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""missing_before""}]",[],[],[],"[""business-agent""]",[],[],[],[],WRONG_FINAL_STATUS,"[""MISSING_REQUIRED_SKILL"", ""ORDER_VIOLATION"", ""MISSING_DEPARTMENT"", ""WRONG_ROUTE_CHOICE""]",外购咨询服务须先由授权业务负责人按合同完成验收；当前成果尚未确认，因此后续发票核验、付款审批和入账被验收环节阻塞。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT09_CROSS_BUS_SERVICE_PAYMENT.json,
B,run_02,GT10_CROSS_ONBOARDING_EQUIPMENT,cross_department_goal,hard,True,False,False,True,False,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,True,0.0,False,5,5,0,[],[],[],[],[],"[{""before"": ""procurement-delivery-tracking"", ""after"": ""technology-test-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}, {""before"": ""technology-test-acceptance"", ""after"": ""procurement-delivery-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""reversed_order""}, {""before"": ""procurement-delivery-acceptance"", ""after"": ""hr-onboarding"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""reversed_order""}, {""before"": ""hr-onboarding"", ""after"": ""hr-employee-database"", ""constraint_type"": ""mandatory_order"", ""satisfied"": true, ""reason"": ""correct_order""}]","[{""before"": ""technology-test-acceptance"", ""after"": ""procurement-delivery-acceptance"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""reversed_order""}, {""before"": ""procurement-delivery-acceptance"", ""after"": ""hr-onboarding"", ""constraint_type"": ""mandatory_order"", ""satisfied"": false, ""reason"": ""reversed_order""}]",[],[],[],[],[],[],[],[],WRONG_FINAL_STATUS,"[""ORDER_VIOLATION"", ""WRONG_ROUTE_CHOICE""]",录用已接受且电脑已下单，应进入入职、交付跟踪和资料归档流程；但电脑尚未到货，无法完成交付验收及后续技术可用性确认，因此当前受阻。,/Users/liangzihan/Documents/Codex/SJTU_summer_school/skill-net/experiments/skillnet/results/E4/B/size_46/run_02/predictions/GT10_CROSS_ONBOARDING_EQUIPMENT.json,
